417.379 354.167 0 7 1  1.0
417.659 354.039 0 7 1  1.0
417.94 353.916 0 7 1  1.0
418.221 353.798 0 7 1  1.0
418.504 353.685 0 7 1  1.0
418.788 353.576 0 7 1  1.0
419.072 353.472 0 7 1  1.0
419.358 353.372 0 7 1  1.0
419.646 353.277 0 7 1  1.0
419.935 353.185 0 7 1  1.0
420.225 353.097 0 7 1  1.0
420.516 353.013 0 7 1  1.0
420.81 352.932 0 7 1  1.0
421.104 352.855 0 7 1  1.0
421.401 352.781 0 7 1  1.0
421.7 352.71 0 7 1  1.0
422 352.642 0 7 1  1.0
422.302 352.577 0 7 1  1.0
422.606 352.514 0 7 1  1.0
422.913 352.454 0 7 1  1.0
423.221 352.396 0 7 1  1.0
423.532 352.34 0 7 1  1.0
423.845 352.287 0 7 1  1.0
424.161 352.235 0 7 1  1.0
424.479 352.185 0 7 1  1.0
424.8 352.136 0 7 1  1.0
425.123 352.089 0 7 1  1.0
425.449 352.044 0 7 1  1.0
425.778 351.999 0 7 1  1.0
426.109 351.955 0 7 1  1.0
426.444 351.912 0 7 1  1.0
426.781 351.87 0 7 1  1.0
427.122 351.829 0 7 1  1.0
427.414 351.793 0 7 1  1.0
427.708 351.759 0 7 1  1.0
428.005 351.724 0 7 1  1.0
428.303 351.691 0 7 1  1.0
428.602 351.658 0 7 1  1.0
428.904 351.626 0 7 1  1.0
429.206 351.595 0 7 1  1.0
429.51 351.564 0 7 1  1.0
429.815 351.535 0 7 1  1.0
430.121 351.508 0 7 1  1.0
430.428 351.481 0 7 1  1.0
430.735 351.456 0 7 1  1.0
431.043 351.433 0 7 1  1.0
431.351 351.411 0 7 1  1.0
431.659 351.392 0 7 1  1.0
431.968 351.374 0 7 1  1.0
432.276 351.358 0 7 1  1.0
432.584 351.344 0 7 1  1.0
432.892 351.333 0 7 1  1.0
433.199 351.324 0 7 1  1.0
433.505 351.317 0 7 1  1.0
433.81 351.313 0 7 1  1.0
434.115 351.312 0 7 1  1.0
434.418 351.313 0 7 1  1.0
434.72 351.318 0 7 1  1.0
435.021 351.325 0 7 1  1.0
435.32 351.336 0 7 1  1.0
435.617 351.35 0 7 1  1.0
435.912 351.367 0 7 1  1.0
436.205 351.388 0 7 1  1.0
436.496 351.412 0 7 1  1.0
436.785 351.44 0 7 1  1.0
437.071 351.472 0 7 1  1.0
437.354 351.507 0 7 1  1.0
437.635 351.547 0 7 1  1.0
437.912 351.591 0 7 1  1.0
438.187 351.639 0 7 1  1.0
438.458 351.691 0 7 1  1.0
438.726 351.748 0 7 1  1.0
438.991 351.81 0 7 1  1.0
439.251 351.876 0 7 1  1.0
439.508 351.947 0 7 1  1.0
439.761 352.023 0 7 1  1.0
440.009 352.104 0 7 1  1.0
440.254 352.19 0 7 1  1.0
440.494 352.281 0 7 1  1.0
440.729 352.378 0 7 1  1.0
440.959 352.48 0 7 1  1.0
441.185 352.587 0 7 1  1.0
441.406 352.701 0 7 1  1.0
441.621 352.82 0 7 1  1.0
441.831 352.945 0 7 1  1.0
442.036 353.076 0 7 1  1.0
442.234 353.213 0 7 1  1.0
442.428 353.357 0 7 1  1.0
442.615 353.506 0 7 1  1.0
442.796 353.663 0 7 1  1.0
442.971 353.825 0 7 1  1.0
443.139 353.995 0 7 1  1.0
443.301 354.171 0 7 1  1.0
443.456 354.354 0 7 1  1.0
443.604 354.544 0 7 1  1.0
443.746 354.742 0 7 1  1.0
443.88 354.946 0 7 1  1.0
444.037 355.211 0 7 1  1.0
444.183 355.486 0 7 1  1.0
444.319 355.771 0 7 1  1.0
444.445 356.065 0 7 1  1.0
444.563 356.367 0 7 1  1.0
444.672 356.677 0 7 1  1.0
444.774 356.993 0 7 1  1.0
444.868 357.315 0 7 1  1.0
444.956 357.643 0 7 1  1.0
445.038 357.974 0 7 1  1.0
445.115 358.31 0 7 1  1.0
445.187 358.648 0 7 1  1.0
445.254 358.988 0 7 1  1.0
445.319 359.329 0 7 1  1.0
445.38 359.671 0 7 1  1.0
445.439 360.013 0 7 1  1.0
445.503 360.396 0 7 1  1.0
445.564 360.777 0 7 1  1.0
445.625 361.157 0 7 1  1.0
445.683 361.536 0 7 1  1.0
445.741 361.914 0 7 1  1.0
445.797 362.29 0 7 1  1.0
445.853 362.665 0 7 1  1.0
445.908 363.039 0 7 1  1.0
445.964 363.412 0 7 1  1.0
446.019 363.783 0 7 1  1.0
446.074 364.154 0 7 1  1.0
446.131 364.523 0 7 1  1.0
446.188 364.891 0 7 1  1.0
446.246 365.258 0 7 1  1.0
446.305 365.624 0 7 1  1.0
446.366 365.989 0 7 1  1.0
446.429 366.353 0 7 1  1.0
446.494 366.716 0 7 1  1.0
