420.103 354.325 1 9 1  1.0
420.472 354.409 1 9 1  1.0
420.842 354.494 1 9 1  1.0
421.214 354.58 1 9 1  1.0
421.585 354.666 1 9 1  1.0
421.957 354.753 1 9 1  1.0
422.328 354.842 1 9 1  1.0
422.699 354.932 1 9 1  1.0
423.068 355.025 1 9 1  1.0
423.436 355.12 1 9 1  1.0
423.802 355.218 1 9 1  1.0
424.166 355.32 1 9 1  1.0
424.527 355.424 1 9 1  1.0
424.885 355.533 1 9 1  1.0
425.24 355.646 1 9 1  1.0
425.59 355.764 1 9 1  1.0
425.936 355.887 1 9 1  1.0
426.278 356.015 1 9 1  1.0
426.615 356.148 1 9 1  1.0
426.946 356.288 1 9 1  1.0
427.271 356.434 1 9 1  1.0
427.59 356.587 1 9 1  1.0
427.902 356.747 1 9 1  1.0
428.207 356.914 1 9 1  1.0
428.505 357.089 1 9 1  1.0
428.794 357.272 1 9 1  1.0
429.076 357.464 1 9 1  1.0
429.349 357.664 1 9 1  1.0
429.612 357.873 1 9 1  1.0
429.867 358.092 1 9 1  1.0
430.111 358.321 1 9 1  1.0
430.345 358.56 1 9 1  1.0
430.569 358.81 1 9 1  1.0
430.737 359.014 1 9 1  1.0
430.899 359.225 1 9 1  1.0
431.054 359.443 1 9 1  1.0
431.203 359.666 1 9 1  1.0
431.345 359.896 1 9 1  1.0
431.481 360.13 1 9 1  1.0
431.611 360.371 1 9 1  1.0
431.735 360.616 1 9 1  1.0
431.852 360.866 1 9 1  1.0
431.964 361.121 1 9 1  1.0
432.07 361.38 1 9 1  1.0
432.171 361.643 1 9 1  1.0
432.266 361.91 1 9 1  1.0
432.356 362.181 1 9 1  1.0
432.44 362.456 1 9 1  1.0
432.519 362.733 1 9 1  1.0
432.594 363.013 1 9 1  1.0
432.663 363.296 1 9 1  1.0
432.728 363.582 1 9 1  1.0
432.788 363.869 1 9 1  1.0
432.843 364.159 1 9 1  1.0
432.894 364.45 1 9 1  1.0
432.941 364.743 1 9 1  1.0
432.983 365.037 1 9 1  1.0
433.021 365.333 1 9 1  1.0
433.056 365.628 1 9 1  1.0
433.086 365.925 1 9 1  1.0
433.113 366.221 1 9 1  1.0
433.136 366.518 1 9 1  1.0
433.156 366.815 1 9 1  1.0
433.172 367.111 1 9 1  1.0
433.185 367.406 1 9 1  1.0
433.2 367.925 1 9 1  1.0
433.205 368.441 1 9 1  1.0
433.2 368.954 1 9 1  1.0
433.184 369.463 1 9 1  1.0
433.157 369.969 1 9 1  1.0
433.119 370.472 1 9 1  1.0
433.069 370.97 1 9 1  1.0
433.008 371.464 1 9 1  1.0
432.935 371.954 1 9 1  1.0
432.849 372.44 1 9 1  1.0
432.751 372.922 1 9 1  1.0
432.64 373.398 1 9 1  1.0
432.517 373.87 1 9 1  1.0
432.379 374.337 1 9 1  1.0
432.228 374.799 1 9 1  1.0
432.064 375.255 1 9 1  1.0
431.955 375.533 1 9 1  1.0
431.842 375.809 1 9 1  1.0
431.724 376.083 1 9 1  1.0
431.6 376.355 1 9 1  1.0
431.472 376.625 1 9 1  1.0
431.34 376.893 1 9 1  1.0
431.203 377.16 1 9 1  1.0
431.062 377.425 1 9 1  1.0
430.916 377.689 1 9 1  1.0
430.767 377.951 1 9 1  1.0
430.614 378.212 1 9 1  1.0
430.458 378.471 1 9 1  1.0
430.298 378.729 1 9 1  1.0
430.135 378.986 1 9 1  1.0
429.969 379.242 1 9 1  1.0
429.8 379.497 1 9 1  1.0
429.628 379.75 1 9 1  1.0
429.454 380.003 1 9 1  1.0
429.277 380.255 1 9 1  1.0
429.098 380.506 1 9 1  1.0
428.917 380.756 1 9 1  1.0
428.734 381.005 1 9 1  1.0
428.549 381.254 1 9 1  1.0
428.362 381.503 1 9 1  1.0
428.174 381.751 1 9 1  1.0
427.985 381.998 1 9 1  1.0
427.795 382.245 1 9 1  1.0
427.603 382.492 1 9 1  1.0
427.411 382.739 1 9 1  1.0
427.218 382.985 1 9 1  1.0
427.025 383.231 1 9 1  1.0
426.831 383.478 1 9 1  1.0
426.61 383.758 1 9 1  1.0
426.389 384.039 1 9 1  1.0
426.167 384.319 1 9 1  1.0
425.945 384.598 1 9 1  1.0
425.722 384.876 1 9 1  1.0
425.499 385.154 1 9 1  1.0
425.274 385.43 1 9 1  1.0
425.048 385.705 1 9 1  1.0
424.821 385.979 1 9 1  1.0
424.593 386.25 1 9 1  1.0
424.363 386.519 1 9 1  1.0
424.132 386.787 1 9 1  1.0
423.899 387.051 1 9 1  1.0
423.664 387.313 1 9 1  1.0
423.427 387.572 1 9 1  1.0
423.188 387.828 1 9 1  1.0
422.947 388.081 1 9 1  1.0
422.703 388.33 1 9 1  1.0
422.458 388.575 1 9 1  1.0
422.209 388.816 1 9 1  1.0
421.958 389.053 1 9 1  1.0
421.704 389.286 1 9 1  1.0
421.447 389.514 1 9 1  1.0
421.187 389.738 1 9 1  1.0
420.924 389.956 1 9 1  1.0
420.658 390.169 1 9 1  1.0
420.388 390.377 1 9 1  1.0
420.114 390.579 1 9 1  1.0
419.837 390.775 1 9 1  1.0
419.556 390.965 1 9 1  1.0
419.271 391.149 1 9 1  1.0
418.982 391.327 1 9 1  1.0
418.733 391.472 1 9 1  1.0
418.48 391.614 1 9 1  1.0
418.225 391.75 1 9 1  1.0
417.967 391.882 1 9 1  1.0
417.706 392.01 1 9 1  1.0
417.443 392.134 1 9 1  1.0
417.178 392.253 1 9 1  1.0
416.91 392.369 1 9 1  1.0
416.639 392.48 1 9 1  1.0
416.367 392.589 1 9 1  1.0
416.092 392.693 1 9 1  1.0
415.816 392.794 1 9 1  1.0
415.537 392.893 1 9 1  1.0
415.257 392.987 1 9 1  1.0
414.975 393.079 1 9 1  1.0
414.691 393.168 1 9 1  1.0
414.406 393.255 1 9 1  1.0
414.12 393.339 1 9 1  1.0
413.832 393.42 1 9 1  1.0
413.543 393.499 1 9 1  1.0
413.253 393.576 1 9 1  1.0
412.961 393.651 1 9 1  1.0
412.669 393.724 1 9 1  1.0
412.376 393.795 1 9 1  1.0
412.082 393.864 1 9 1  1.0
411.788 393.932 1 9 1  1.0
411.493 393.999 1 9 1  1.0
