389.401 348.292 1 0 1  1.0
389.698 348.122 1 0 1  1.0
389.994 347.953 1 0 1  1.0
390.29 347.786 1 0 1  1.0
390.587 347.62 1 0 1  1.0
390.883 347.456 1 0 1  1.0
391.179 347.293 1 0 1  1.0
391.475 347.132 1 0 1  1.0
391.771 346.973 1 0 1  1.0
392.067 346.816 1 0 1  1.0
392.364 346.662 1 0 1  1.0
392.66 346.509 1 0 1  1.0
392.957 346.359 1 0 1  1.0
393.254 346.211 1 0 1  1.0
393.551 346.066 1 0 1  1.0
393.849 345.924 1 0 1  1.0
394.147 345.784 1 0 1  1.0
394.446 345.647 1 0 1  1.0
394.745 345.514 1 0 1  1.0
395.045 345.383 1 0 1  1.0
395.345 345.256 1 0 1  1.0
395.646 345.131 1 0 1  1.0
395.948 345.011 1 0 1  1.0
396.25 344.894 1 0 1  1.0
396.553 344.781 1 0 1  1.0
396.857 344.671 1 0 1  1.0
397.162 344.566 1 0 1  1.0
397.468 344.464 1 0 1  1.0
397.774 344.366 1 0 1  1.0
398.082 344.273 1 0 1  1.0
398.391 344.184 1 0 1  1.0
398.701 344.1 1 0 1  1.0
399.012 344.02 1 0 1  1.0
399.466 343.912 1 0 1  1.0
399.924 343.814 1 0 1  1.0
400.383 343.725 1 0 1  1.0
400.845 343.645 1 0 1  1.0
401.309 343.575 1 0 1  1.0
401.775 343.512 1 0 1  1.0
402.243 343.458 1 0 1  1.0
402.713 343.412 1 0 1  1.0
403.184 343.374 1 0 1  1.0
403.658 343.343 1 0 1  1.0
404.133 343.32 1 0 1  1.0
404.609 343.303 1 0 1  1.0
405.087 343.294 1 0 1  1.0
405.566 343.29 1 0 1  1.0
406.047 343.293 1 0 1  1.0
406.529 343.302 1 0 1  1.0
407.011 343.316 1 0 1  1.0
407.495 343.336 1 0 1  1.0
407.98 343.36 1 0 1  1.0
408.465 343.39 1 0 1  1.0
408.951 343.424 1 0 1  1.0
409.438 343.462 1 0 1  1.0
409.925 343.504 1 0 1  1.0
410.413 343.55 1 0 1  1.0
410.9 343.6 1 0 1  1.0
411.389 343.652 1 0 1  1.0
411.877 343.708 1 0 1  1.0
412.365 343.766 1 0 1  1.0
412.854 343.827 1 0 1  1.0
413.342 343.889 1 0 1  1.0
413.83 343.954 1 0 1  1.0
414.318 344.02 1 0 1  1.0
414.578 344.056 1 0 1  1.0
414.838 344.092 1 0 1  1.0
415.098 344.129 1 0 1  1.0
415.357 344.166 1 0 1  1.0
415.617 344.204 1 0 1  1.0
415.876 344.242 1 0 1  1.0
416.135 344.281 1 0 1  1.0
416.394 344.32 1 0 1  1.0
416.652 344.36 1 0 1  1.0
416.911 344.401 1 0 1  1.0
417.169 344.443 1 0 1  1.0
417.426 344.485 1 0 1  1.0
417.684 344.528 1 0 1  1.0
417.941 344.572 1 0 1  1.0
418.197 344.617 1 0 1  1.0
418.454 344.663 1 0 1  1.0
418.71 344.709 1 0 1  1.0
418.965 344.757 1 0 1  1.0
419.22 344.806 1 0 1  1.0
419.475 344.856 1 0 1  1.0
419.729 344.907 1 0 1  1.0
419.983 344.959 1 0 1  1.0
420.236 345.012 1 0 1  1.0
420.489 345.066 1 0 1  1.0
420.741 345.122 1 0 1  1.0
420.993 345.179 1 0 1  1.0
421.244 345.237 1 0 1  1.0
421.494 345.297 1 0 1  1.0
